DATE / RAOB	REPORT	MUMR	MUCAPE	500TEMP	7-5 LR	0-6SH	0-9SH	0-3SH	SHIP	MODELb	SRH
01041500.DDC	3.65	13.1	3892	-18.3	9.0	43.1	54.7	24.4	8.6	2.50	233
01050700.LZK	3.65	14.7	3512	-12.9	5.9	18.7	26.3	7.3	1.8	3.40	77
01050700.SHV	3.65	14.8	2945	-12.5	6.5	15.7	22.1	9.0	1.3	1.70	110
01051800.AMA	3.65	13.9	4695	-10.5	8.6	13.2	22.8	16.1	1.8	2.10	86
01052500.JAN	3.65	13.5	3446	-15.1	7.5	21.8	31.4	17.4	2.7	2.70	240
01061400.DDC	3.65	15.7	5244	-8.9	8.0	28.1	28.2	19.8	3.9	2.50	384
01062100.DDC	3.65	15.2	4428	-10.7	7.8	19.0	25.2	13.4	2.5	3.20	400
01071800.ABR	3.65	17.5	5177	-9.9	8.4	19.5	28.2	9.6	3.5	3.90	136
01072100.GGW	3.65	13.5	3114	-10.7	7.7	28.3	30.5	15.8	2.3	2.80	354
02051100.MAF	3.65	14.5	4658	-9.3	8.4	23.1	40.3	14.8	2.9	2.20	132
02051200.TOP	3.65	15.8	4489	-11.9	8.1	26.0	26.5	13.7	4.2	3.30	224
02060500.RNK	3.65	17.9	5399	-9.7	6.9	4.0	7.3	8.7	0.6	3.20	54
02062400.ABR	3.65	17.2	5093	-10.5	8.2	26.3	30.9	16.9	4.7	3.50	187
02091900.OUN	3.65	15.7	4268	-6.1	6.7	20.8	23.4	17.8	1.4	3.00	308
03062300.OAX	3.65	18.7	6203	-9.3	8.6	13.6	22.9	12.3	3.0	4.20	237
98040800.ILX	3.65	10.2	1354	-19.7	7.2	21.2	25.1	20.1	1.0	2.60	180
98052200.SGF	3.65	17.1	4719	-9.9	7.8	22.4	23.1	13.8	3.3	2.30	232
99030600.LZK	3.65	11.7	1922	-18.5	8.2	22.8	39.2	21.4	1.9	2.10	360
99050400.OUN	3.65	15.6	5195	-14.9	8.4	21.3	22.0	16.5	5.1	4.70	343
99072600.LBF	3.65	16.4	4375	-6.7	7.9	12.9	16.1	9.5	1.2	2.60	60
01041000.SGF	3.50	13.0	3476	-14.5	7.9	21.6	30.3	12.5	2.7	2.60	141
01061500.FWD	3.50	17.3	4260	-9.7	7.9	15.1	9.7	11.1	2.0	2.20	74
02081200.DDC	3.50	14.0	3415	-8.7	8.0	15.7	27.7	10.7	1.2	3.10	157
89070300.STC	3.50	15.6	3556	-8.2	7.0	15.8	21.4	8.5	1.2	1.40	128
90031400.OUN	3.50	14.6	3950	-16.1	7.2	20.2	49.4	12.3	3.2	2.90	169
90040600.SEP	3.50	12.4	3764	-14.9	7.8	25.2	36.8	15.4	3.3	2.30	305
90060900.IAD	3.50	17.2	3994	-10.9	7.1	23.7	20.0	18.3	3.0	0.90	203
90061900.BIS	3.50	11.1	1968	-13.5	8.2	28.4	38.0	17.4	1.6	2.90	257
96062000.OAX	3.50	16.3	4081	-9.8	8.6	19.0	24.4	18.9	2.5	-999.00	271
97062100.LBF	3.50	17.3	6058	-9.3	8.8	23.1	25.1	13.9	4.7	3.70	129
98052100.TOP	3.50	16.5	4680	-12.5	8.4	10.5	23.7	9.8	2.0	3.80	100
98052500.OUN	3.50	18.0	5688	-10.7	8.1	21.9	28.7	9.9	4.6	4.20	172
98062000.OUN	3.50	19.0	6048	-7.1	7.8	15.4	11.2	13.7	2.3	3.90	209
06070200.GRB	3.25	15.4	3255	-9.3	6.6	17.0	24.9	14.7	1.2	1.50	99
91060500.DDC	3.25	16.9	4631	-7.9	6.5	15.3	15.4	11.0	1.5	3.50	74
00050400.FWD	3.00	13.2	2731	-14.3	6.3	21.7	28.5	19.0	1.7	3.00	327
00062900.MAF	3.00	14.8	3565	-6.3	6.3	10.5	16.7	9.6	0.5	1.80	29
00080600.OAX	3.00	19.0	5525	-7.1	7.5	15.0	22.8	9.4	2.0	3.10	56
01051900.LZK	3.00	16.6	4269	-12.5	8.1	18.5	25.8	9.9	3.2	2.70	98
01053000.AMA	3.00	16.4	5827	-9.7	8.2	26.1	29.7	25.0	4.7	2.80	268
01090900.FWD	3.00	17.1	4304	-8.9	8.2	14.1	12.0	7.7	1.8	2.70	97
03042100.SHV	3.00	15.5	2947	-13.5	7.5	24.0	38.0	14.3	2.6	0.90	110
03050420.SGF	3.00	15.8	4524	-11.9	7.1	35.4	47.9	25.2	5.1	3.20	480
03062400.LBF	3.00	18.6	6189	-8.7	8.1	30.8	31.6	21.7	5.9	4.80	381
03062800.DDC	3.00	11.4	2329	-9.3	6.7	16.9	26.8	10.8	0.7	2.20	138
04041900.OAX	3.00	11.9	3136	-15.1	8.2	33.8	44.9	20.5	3.7	1.90	394
04042200.OUN	3.00	12.2	2363	-13.5	7.0	24.3	33.8	16.9	1.6	2.70	385
04051700.DDC	3.00	10.0	2200	-11.9	8.4	31.7	30.2	20.5	1.6	1.50	390
04052300.OAX	3.00	15.6	4333	-12.3	7.6	32.4	28.9	19.6	4.9	3.00	289
04070200.AMA	3.00	16.9	5137	-8.1	7.4	14.0	16.6	18.0	1.7	3.00	80
04081000.DDC	3.00	14.6	3147	-9.7	7.7	21.0	22.0	13.0	1.7	3.00	222
06042412.LMN	3.00	14.1	3248	-12.9	8.2	25.4	28.7	16.6	2.9	3.20	413
06042500.OUN	3.00	15.5	4007	-12.3	8.6	20.1	21.2	15.4	3.2	3.30	105
06052500.SGF	3.00	15.6	3470	-11.1	7.6	14.3	7.3	13.6	1.5	2.00	162
06052700.BNA	3.00	16.1	3535	-8.3	5.9	12.8	17.2	17.7	0.9	0.70	196
06052800.BIS	3.00	12.5	3434	-11.1	8.1	11.3	12.7	10.5	1.0	1.80	74
72081200.YRM	3.00	10.9	1989	-14.2	8.3	24.6	35.0	14.0	1.5	2.40	132
89060500.OUN	3.00	12.5	1640	-11.6	7.0	15.7	23.9	8.8	0.6	0.70	53
89060700.AMA	3.00	15.4	4752	-9.5	8.5	30.5	55.6	21.7	4.3	2.40	303
90051500.OUN	3.00	16.8	4798	-10.7	7.8	19.8	29.7	12.5	3.2	4.20	186
90052700.OUN	3.00	17.5	4621	-8.8	7.6	23.8	25.1	20.4	3.1	3.20	255
91032700.TOP	3.00	12.7	2763	-12.3	6.8	27.7	31.7	21.6	1.9	2.50	279
91040912.1M1	3.00	14.2	3450	-15.2	8.0	19.7	20.8	11.5	2.8	-999.00	134
91052700.DDC	3.00	17.0	5493	-10.5	8.4	21.7	29.3	13.3	4.2	2.90	81
92032600.TBW	3.00	12.6	2104	-14.0	6.5	32.2	37.0	18.6	1.8	1.10	195
92062700.MAF	3.00	13.9	3224	-8.2	7.7	23.7	38.8	13.0	1.6	2.50	253
92070500.OVN	3.00	17.3	5051	-9.3	7.4	21.8	33.3	16.1	3.1	3.50	243
93050600.MAF	3.00	13.9	3784	-9.6	7.2	27.0	25.4	18.6	2.3	2.50	149
93060600.HAT	3.00	16.0	4948	-13.5	8.3	15.5	17.2	12.6	3.2	3.90	70
93070200.DDC	3.00	17.1	4895	-5.2	7.2	16.4	21.4	13.3	1.2	2.80	237
93070900.OVN	3.00	19.7	5546	-6.8	6.9	29.4	24.3	16.9	3.6	0.60	345
93082300.DDC	3.00	13.3	2608	-7.8	7.7	19.5	27.0	13.1	1.0	2.00	83
93091900.AMA	3.00	12.4	1911	-9.0	7.7	32.7	35.4	16.5	1.3	2.40	264
93091900.DDC	3.00	12.4	1954	-10.4	7.2	29.5	46.6	16.8	1.3	2.80	233
94032800.CKL	3.00	15.3	2066	-9.6	6.3	38.6	36.3	30.5	1.8	0.60	429
94052600.FNT	3.00	10.8	2240	-16.3	6.1	17.8	25.8	12.8	1.0	2.40	113
94060600.DDC	3.00	14.8	4882	-8.8	8.7	15.6	18.6	13.1	2.0	2.10	248
95021400.PBI	3.00	16.5	2433	-11.0	5.9	27.1	33.4	13.8	1.7	0.60	117
95043000.FTD	3.00	15.0	4416	-13.3	8.1	21.9	31.7	15.6	3.7	3.40	166
95062300.LBF	3.00	12.9	2962	-11.1	7.9	21.0	19.8	15.3	1.7	2.80	220
95071500.LBF	3.00	14.4	3052	-7.0	6.5	15.9	24.7	13.9	0.8	2.10	159
95072400.DDC	3.00	15.9	3645	-9.9	8.2	18.2	32.6	11.8	2.0	3.60	31
95082300.INL	3.00	15.4	3023	-11.6	8.0	30.9	26.5	25.4	3.2	2.10	694
95082700.GGW	3.00	11.7	3094	-12.6	8.3	26.8	41.0	13.6	2.4	1.70	162
96033100.SHV	3.00	12.7	2891	-17.1	7.6	27.4	35.5	20.1	3.1	3.10	163
96042000.ILX	3.00	12.9	2394	-14.6	7.1	27.0	39.5	16.4	2.1	-999.00	249
96052700.OUN	3.00	15.2	3034	-9.4	6.9	29.8	33.6	22.5	2.1	2.00	330
96061400.UNR	3.00	13.1	3801	-11.0	8.4	18.0	14.8	12.4	2.0	2.00	63
96062012.LBF	3.00	15.2	3418	-8.6	7.9	22.6	25.0	16.5	1.9	3.30	380
96070800.LBF	3.00	15.3	3341	-6.4	7.0	30.0	41.5	20.6	1.6	2.20	390
97052600.OUN	3.00	17.2	5143	-7.7	5.9	30.4	32.4	15.0	2.9	2.60	148
97061000.FWD	3.00	15.6	2699	-9.9	7.0	18.7	24.1	10.9	1.3	1.30	98
98052400.DDC	3.00	11.6	2630	-12.9	6.7	22.0	27.7	9.8	1.4	2.30	101
98061400.OAX	3.00	13.3	2830	-10.5	7.7	24.4	45.4	15.3	1.8	3.40	219
98062500.ABR	3.00	16.3	4448	-13.7	8.8	17.4	28.7	11.2	3.6	3.70	42
98062500.BIS	3.00	15.5	4591	-13.3	8.1	15.9	15.4	15.5	2.9	3.00	89
98062900.TOP	3.00	22.0	6895	-7.7	7.0	20.6	27.3	19.3	4.0	2.40	335
99060200.FWD	3.00	17.3	4928	-11.5	8.8	15.0	30.3	15.3	3.1	4.50	171
00022500.AMA	2.75	10.3	3614	-18.5	8.5	26.8	48.5	13.1	3.8	1.70	107
00051300.DTX	2.75	16.9	4524	-8.5	7.7	24.1	18.5	20.2	2.9	2.40	328
00052700.OUN	2.75	18.3	5870	-10.1	8.4	21.5	32.8	12.8	4.6	4.00	117
