HSV 34.650  -86.780 HUNTSVILLE ALABAMA
LAF 40.420  -86.930 LAFAYETTE INDIANA
SEM 32.350  -86.980 SELMA ALABAMA
ESC 45.720  -87.100 ESCANABA MICHIGAN
OWB 37.720  -87.170 OWENSBORO KENTUCKY
PNS 30.470  -87.180 PENSACOLA FLORIDA
0A8 32.900  -87.250 CENTREVILLE ALABAMA
HUF 39.450  -87.320 TERRE HAUTE INDIANA
CKV 36.610  -87.420 CLARKSVILLE TENNESSEE
HOP 36.670  -87.480 FORT CAMPBELL KENTUCKY
EVV 38.030  -87.530 EVANSVILLE INDIANA
MQT 46.530  -87.570 MARQUETTE MICHIGAN
DNV 40.200  -87.600 DANVILLE ILLINOIS
CGX 41.870  -87.620 MEIGS FIELD ILLINOIS
MSL 34.750  -87.620 MUSCLE SHOALS ALABAMA
TCL 33.220  -87.620 TUSCALOOSA ALABAMA
MTW 44.130  -87.680 MANITOWOC WISCONSIN
MKE 42.950  -87.900 MILWAUKEE WISCONSIN
IMT 45.820  -88.120 IRON MOUNTAIN MICHIGAN
GRB 44.480  -88.130 GREEN BAY WISCONSIN
MOB 30.680  -88.250 MOBILE ALABAMA
CMI 40.030  -88.280 CHAMPAIGN ILLINOIS
MTO 39.470  -88.280 MATTOON ILLINOIS
CBM 33.630  -88.450 COLUMBUS MISSISSIPPI
CMX 47.170  -88.480 HOUGHTON MICHIGAN
OSH 43.980  -88.550 OSHKOSH WISCONSIN
MMO 41.370  -88.680 MARSEILLES ILLINOIS
MEI 32.330  -88.750 MERIDIAN MISSISSIPPI
PAH 37.070  -88.770 PADUCAH KENTUCKY
TUP 34.270  -88.770 TUPELO MISSISSIPPI
DEC 39.830  -88.870 DECATUR ILLINOIS
MVN 38.320  -88.870 MOUNT VERNON ILLINOIS
BMI 40.470  -88.920 BLOOMINGTON ILLINOIS
MKL 35.600  -88.920 JACKSON TENNESSEE
SLO 38.650  -88.970 SALEM ILLINOIS
JVL 42.620  -89.030 JANESVILLE WISCONSIN
GPT 30.400  -89.070 GULFPORT MISSISSIPPI
RFD 42.200  -89.100 ROCKFORD ILLINOIS
MDH 37.780  -89.250 CARBONDALE ILLINOIS
MSN 43.130  -89.330 MADISON WISCONSIN
DYR 36.000  -89.400 DYERSBURG TENNESSEE
BVE 29.330  -89.400 BOOTHVILLE LOUISIANA
RHI 45.630  -89.470 RHINELANDER WISCONSIN
UOX 34.380  -89.530 OXFORD MISSISSIPPI
CGI 37.220  -89.570 CAPE GIRARDEAU MISSOURI
AUW 44.920  -89.630 WAUSAU WISCONSIN
CWA 44.780  -89.670 MOSINEE WISCONSIN
PIA 40.670  -89.680 PEORIA ILLINOIS
SPI 39.850  -89.680 SPRINGFIELD ILLINOIS
BLV 38.540  -89.850 SCOTT AFB ILLINOIS
MEM 35.040  -89.980 MEMPHIS TENNESSEE
ALN 38.900  -90.050 ALTON ILLINOIS
GWO 33.500  -90.080 GREENWOOD MISSISSIPPI
JAN 32.320  -90.080 JACKSON MISSISSIPPI
IWD 46.530  -90.130 IRONWOOD MICHIGAN
LNR 43.220  -90.180 LONEROCK WISCONSIN
MSY 30.000  -90.250 NEW ORLEANS LOUISIANA
VOK 43.930  -90.270 CAMP DOUGLAS WISCONSIN
STL 38.750  -90.370 SAINT LOUIS MISSOURI
POF 36.770  -90.470 POPLAR BLUFF MISSOURI
MCB 31.180  -90.470 MC COMB MISSISSIPPI
MLI 41.450  -90.500 MOLINE ILLINOIS
JBR 35.830  -90.650 JONESBORO ARKANSAS
HUM 29.570  -90.670 HOUMA LOUISIANA
DBQ 42.400  -90.720 DUBUQUE IOWA
ARG 36.130  -90.930 WALNUT RIDGE ARKANSAS
GLH 33.470  -90.980 GREENVILLE MISSISSIPPI
BRL 40.780  -91.130 BURLINGTON IOWA
BTR 30.530  -91.150 BATON ROUGE LOUISIANA
UIN 39.950  -91.200 QUINCY ILLINOIS
LSE 43.880  -91.250 LA CROSSE WISCONSIN
HEZ 31.620  -91.300 NATCHEZ MISSISSIPPI
EAU 44.870  -91.480 EAU CLAIRE WISCONSIN
CID 41.880  -91.720 CEDAR RAPIDS IOWA
VIH 38.130  -91.770 VICHY MISSOURI
ELO 47.900  -91.870 ELY MINNESOTA
UNO 36.750  -91.870 WEST PLAINS MISSOURI
PBF 34.170  -91.930 PINE BLUFF ARKANSAS
LFT 30.200  -91.980 LAFAYETTE LOUISIANA
MLU 32.520  -92.030 MONROE LOUISIANA
TBN 37.750  -92.130 FORT LEONARD WOOD MISSOURI
7R4 29.780  -92.130 INTRACOASTAL CITY LOUISIANA
JEF 38.600  -92.150 JEFFERSON CITY MISSOURI
DLH 46.830  -92.180 DULUTH MINNESOTA
COU 38.820  -92.220 COLUMBIA MISSOURI
LIT 34.720  -92.230 LITTLE ROCK ARKANSAS
ESF 31.400  -92.300 ALEXANDRIA LOUISIANA
ALO 42.550  -92.400 WATERLOO IOWA
OTM 41.100  -92.450 OTTUMWA IOWA
RST 43.920  -92.500 ROCHESTER MINNESOTA
IRK 40.100  -92.550 KIRKSVILLE MISSOURI
ELD 33.220  -92.820 EL DORADO ARKANSAS
HIB 47.380  -92.830 HIBBING MINNESOTA
HOT 34.470  -93.100 HOT SPRINGS ARKANSAS
HRO 36.270  -93.150 HARRISON ARKANSAS
POE 31.050  -93.180 FORT POLK LOUISIANA
MSP 44.880  -93.220 MINNEAPOLIS MINNESOTA
LCH 30.130  -93.220 LAKE CHARLES LOUISIANA
MCW 43.150  -93.330 MASON CITY IOWA
SGF 37.220  -93.380 SPRINGFIELD MISSOURI
INL 48.570  -93.400 INTERNATIONAL FALLS MINNESOTA
SZL 38.720  -93.550 KNOB NOSTER MISSOURI
DSM 41.530  -93.670 DES MOINES IOWA
SHV 32.450  -93.830 SHREVEPORT LOUISIANA
UMN 36.880  -93.900 MONETT MISSOURI
CDJ 39.820  -93.580 CHILLICOTHE MISSOURI
MKT 44.220  -93.920 MANKATO MINNESOTA
LWD 40.610  -93.930 LAMONI IOWA
TXK 33.450  -94.000 TEXARKANA ARKANSAS
BPT 29.950  -94.020 PORT ARTHUR TEXAS
STC 45.550  -94.050 SAINT CLOUD MINNESOTA
BRD 46.400  -94.130 BRAINERD MINNESOTA
FYV 36.000  -94.170 FAYETTEVILLE ARKANSAS
FOD 42.550  -94.200 FORT DODGE IOWA
FSM 35.330  -94.370 FORT SMITH ARKANSAS
FRM 43.650  -94.420 FAIRMONT MINNESOTA
JLN 37.150  -94.500 JOPLIN MISSOURI
MKC 39.110  -94.600 KANSAS CITY MISSOURI
GGG 32.380  -94.720 LONGVIEW TEXAS
OJC 38.850  -94.730 OLATHE KANSAS
LFK 31.230  -94.750 LUFKIN TEXAS
GLS 29.330  -94.750 GALVESTON TEXAS
