ARX	7302	WFO	La Crosse	ft	1280	MSL	LL	43.822780000000002	-91.191940000000002	La Crosse	WI	3
MKX	14775	WFO	Milwaukee	ft	958	MSL	LL	42.968059999999987	-88.549160000000001	Dousman	WI	3
BMX	8164	WFO	Birmingham	ft	646	MSL	LL	33.178890000000003	-86.782229999999998	Alabaster	AL	4
JAN	13170	WFO	Jackson	ft	346	MSL	LL	32.318890000000003	-90.080280000000002	Jackson	MS	4
MOB	14970	WFO	Mobile	ft	218	MSL	LL	30.679449999999999	-88.239719999999977	Mobile	AL	4
ALY	7092	WFO	Albany	ft	285	MSL	LL	42.748049999999999	-73.803330000000003	Albany	NY	1
BGM	7850	WFO	Binghamton	ft	1630	MSL	LL	42.211669999999998	-75.986109999999996	Binghamton	NY	1
BUF	8390	WFO	Buffalo	ft	724	MSL	LL	42.941390000000013	-78.719169999999977	Cheektowaga	NY	1
BTV	8370	WFO	Burlington	ft	334	MSL	LL	44.469169999999998	-73.15555999999998	Burlington	VT	1
LKN	13785	WFO	Elko	ft	5224	MSL	LL	40.859999999999999	-115.74250000000001	Elko	NV	5
CYS	9500	WFO	Cheyenne	ft	6156	MSL	LL	41.151940000000003	-104.80500000000001	Cheyenne	WY	5
GJT	11620	WFO	Grand Junction	ft	4858	MSL	LL	39.119999999999997	-108.52445	Grand Junction	CO	5
PUB	17630	WFO	Pueblo	ft	4726	MSL	LL	38.279730000000001	-104.52084000000001	Pueblo	CO	5
RIW	18050	WFO	Riverton	ft	5525	MSL	LL	43.066670000000002	-108.47667	Riverton	WY	5
JAX	13180	WFO	Jacksonville	ft	30	MSL	LL	30.484719999999999	-81.701669999999979	Jacksonville	FL	2
TAE	19601	WFO	Tallahassee	ft	81	MSL	LL	30.393889999999999	-84.34444000000002	Tallahassee	FL	2
BYZ	8544	WFO	Billings	ft	3185	MSL	LL	45.750830000000001	-108.57056	Billings	MT	5
GGW	11580	WFO	Glasgow	ft	2294	MSL	LL	48.206670000000003	-106.62473	Glasgow	MT	5
PIH	17260	WFO	Pocatello/Idaho Falls	ft	4449	MSL	LL	42.904440000000001	-112.58972	Pocatello	ID	5
ABR	6760	WFO	Aberdeen	ft	1301	MSL	LL	45.455829999999999	-98.412779999999998	Aberdeen	SD	3
FGF	10994	WFO	Eastern North Dakota	ft	839	MSL	LL	47.921950000000002	-97.098050000000001	Grand Forks	ND	3
UNR	20265	WFO	Rapid City	ft	3376	MSL	LL	44.072780000000002	-103.21111000000001	Rapid City	SD	3
PQR	17465	WFO	Portland	ft	24	MSL	LL	45.560560000000002	-122.53694	Portland	OR	6
RLX	18085	WFO	Charleston	ft	1080	MSL	LL	38.31306	-81.718609999999998	Ruthdale	WV	1
EYW	10750	WFO	Key West	ft	21	MSL	LL	24.550000000000001	-81.75	Key West	FL	2
CAR	8650	WFO	Caribou	ft	628	MSL	LL	46.866700000000002	-68.0167	Caribou	ME	1
HUN	12652	WFO	Huntsville	ft	600	MSL	LL	34.724400000000003	-86.4786	Huntsville	AL	4
