# This is the base afos2awips.txt file. This is an incremental override file,
# where the files at each level are applied on top of the previous level,
# in the following order:
#
#    1. BASE afos2awips.txt
#    2. CONFIGURED afos2awips.txt
#    3. CONFIGURED afos2awips.blacklist.txt
#    4. SITE afos2awips.txt
#    5. SITE afos2awips.blacklist.txt
#
# The files applied in this order together represent afos2awips.txt as actually
# used by the system. Of these, only the SITE files (#4 and #5 above) should be
# edited, as CONFIGURED is maintained by the system.
#
# When a SITE file is updated via CAVE localization perspective, EDEX will
# automatically add/remove entries from the legacy afos2awips.txt to reflect
# the change.


ALBFRWBTV WOUS41 KBTV
ALBFRWNY WOUS41 KALY
ALBFRWVT WOUS41 KBTV
ALBFTMBGM NOUS61 KBGM
ALBFTMCXX NOUS61 KBTV
ALBFTMENX NOUS61 KALY
ALBFTMTYX NOUS61 KBTV
ALBFWCBTV FOUS14 KBTV
ALBFWFALY FNUS51 KALY
ALBFWFBGM FNUS51 KBGM
ALBFWFBTV FNUS51 KBTV
ALBFWMALY FNUS81 KALY
ALBFWMBGM FNUS81 KBGM
ALBFWMBTV FNUS81 KBTV
ALBFWNALY SHUS81 KALY
ALBFWNBGM SHUS81 KBGM
ALBFWNBTV SHUS81 KBTV
ALBFWOALY SHUS61 KALY
ALBFWSALY FNUS71 KALY
ALBFWSBGM FNUS71 KBGM
ALBFWSBTV FNUS71 KBTV
ALBFZLALY UXUS41 KALY
ALBHCMALY NGUS81 KALY
ALBHCMBGM NGUS81 KBGM
ALBHCMBTV NGUS81 KBTV
ALBHLSALY WTUS81 KALY
ALBHMLALY SRUS51 KALY
ALBHMLBGM SRUS51 KBGM
ALBHMLBTV SRUS51 KBTV
ALBHMWALY WOUS41 KALY
ALBHMWBGM WOUS41 KBGM
ALBHMWBTV WOUS41 KBTV
ALBHMWNY WOUS41 KALY
ALBHMWVT WOUS41 KBTV
ALBHURBTV NZUS91 KBTV
ALBHWOALY FLUS41 KALY
ALBHWOBGM FLUS41 KBGM
ALBHWOBTV FLUS41 KBTV
ALBHYDALY SXUS51 KALY
ALBHYDBGM SXUS51 KBGM
ALBHYDBTV SXUS51 KBTV
ALBHYMALY CSUS41 KALY
ALBHYMBGM CSUS41 KBGM
ALBHYMBTV CSUS41 KBTV
ALBHYWALY CWUS41 KALY
ALBHYWBGM CWUS41 KBGM
ALBHYWBTV CWUS41 KBTV
ALBLAEALY WOUS41 KALY
ALBLAEBGM WOUS41 KBGM
ALBLAEBTV WOUS41 KBTV
ALBLAENY WOUS41 KALY
ALBLAEVT WOUS41 KBTV
ALBLCOALY SXUS51 KALY
ALBLCOBGM SXUS51 KALY
ALBLCOBTV SXUS51 KBTV
ALBLEWALY WOUS41 KALY
ALBLEWBGM WOUS41 KBGM
ALBLEWBTV WOUS41 KBTV
ALBLEWNY WOUS41 KALY
ALBLEWVT WOUS41 KBTV
ALBLSRALY NWUS51 KALY
ALBLSRBGM NWUS51 KBGM
ALBLSRBTV NWUS51 KBTV
ALBLSRNY1 NWUS51 KALY
ALBLSRNY1 WWUS30 KALY
ALBLSRNY2 NWUS51 KALY
ALBLSRNY2 WWUS30 KALY
ALBLSRNY3 NWUS51 KALY
ALBLSRNY4 NWUS51 KALY
ALBLSRNY4 WWUS30 KALY
ALBLSRNY5 NWUS51 KALY
ALBLSRNY5 WWUS30 KALY
ALBLSRNY6 NWUS51 KALY
ALBLSRNY7 NWUS51 KALY
ALBMANALY USUS41 KALY
ALBMISALY AXUS41 KALY
ALBMISBTV AXUS41 KBTV
ALBMISSTO AXUS41 KALY
ALBMSMALB CSUS41 KALY
ALBMSMAVP CSUS41 KBGM
ALBMSMBGM CSUS41 KBGM
ALBMSMBTV CSUS41 KBTV
ALBMSMPBG CSUS41 KBYV
ALBMSMRME CSUS41 KBGM
ALBMSMSYR CSUS41 KBGM
ALBMSTBTV CSUS81 KBTV
ALBMSTPBG CSUS81 KBTV
ALBMSTRME CSUS81 KBGM
ALBMTR1V4 SAUS41 KBTV
ALBMTRALB SAUS41 KALY
ALBMTRAVP SAUS41 KBGM
ALBMTRBGM SAUS41 KBGM
ALBMTRBTV SAUS41 KBTV
ALBMTRITH SAUS41 KBGM
ALBMTRPBG SAUS41 KBTV
ALBMTRPBG SAUS70 KPBG
ALBMTRRME SAUS71 KBGM
ALBMTRSYR SAUS41 KBGM
ALBMTRUCA SAUS41 KALY
ALBMTTPBG SXUS41 KBTV
ALBMTTRME SXUS41 KBGM
ALBNOWALY FPUS71 KALY
ALBNOWBGM FPUS71 KBGM
ALBNOWBTV FPUS71 KBTV
ALBNPWALY WWUS71 KALY
ALBNPWBGM WWUS71 KBGM
ALBNPWBTV WWUS71 KBTV
ALBNUWALY WOUS41 KALY
ALBNUWBGM WOUS41 KBGM
ALBNUWBTV WOUS41 KBTV
ALBNUWNY WOUS41 KALY
ALBNUWVT WOUS41 KBTV
ALBOAVALY NOUS51 KALY
ALBOAVBGM NOUS51 KBGM
ALBOAVBTV NOUS51 KBTV
ALBOPUALY FPUS81 KALY
ALBOPUBGM FPUS81 KBGM
ALBOPUBTV FPUS81 KBTV
ALBPARBTV NOUS41 KBTV
ALBPFMALY FOUS51 KALY
ALBPFMBGM FOUS51 KBGM
ALBPFMBTV FOUS51 KBTV
ALBPNSALY NOUS41 KALY
ALBPNSBGM NOUS41 KBGM
ALBPNSBTV NOUS41 KBTV
ALBPSHALY ACUS71 KALY
ALBPSHBGM ACUS71 KBGM
ALBPSHBTV ACUS71 KBTV
ALBRCMBGM SDUS41 KBGM
ALBRCMCXX SDUS41 KBTV
ALBRCMENX SDUS41 KALY
ALBRCMTYX SDUS41 KBTV
ALBRECALY SXUS41 KALY
ALBRECBGM SXUS41 KBGM
ALBRECBTV SXUS41 KBTV
ALBRER1V4 SXUS71 KBTV
ALBRERALB SXUS71 KALY
ALBRERALY SXUS71 KALY
ALBRERAVP SXUS71 KBGM
ALBRERBGM SXUS71 KBGM
ALBRERBTV SXUS71 KBTV
ALBRERELM SXUS71 KBGM
ALBRERPEO SXUS71 KBGM
ALBRERPLB SXUS71 KBTV
ALBRERRME SXUS71 KBGM
ALBRERRUT SXUS71 KBTV
ALBRERSLK SXUS71 KBTV
ALBRERSYR SXUS71 KBGM
ALBRERUCA SXUS71 KBGM
ALBRERVSF SXUS71 KBTV
ALBRETRAN NZXX99 KALY
ALBRFDALY FNUS61 KALY
ALBRFWALY WWUS81 KALY
ALBRFWBGM WWUS81 KBGM
ALBRFWBTV WWUS81 KBTV
ALBRHWALY WOUS41 KALY
ALBRHWBGM WOUS41 KBGM
ALBRHWBTV WOUS41 KBTV
ALBRHWNY WOUS41 KALY
ALBRHWVT WOUS41 KBTV
ALBRMTBTV NZUS91 KBTV
ALBRR1ALY SRUS51 KALY
ALBRR1BGM SRUS51 KBGM
ALBRR1BTV SRUS51 KBTV
ALBRR2ALY SRUS51 KALY
ALBRR2BGM SRUS51 KBGM
ALBRR2BTV SRUS51 KBTV
ALBRR3ALY SRUS51 KALY
ALBRR3BGM SRUS51 KBGM
ALBRR3BTV SRUS51 KBTV
ALBRR4ALY SRUS51 KALY
ALBRR4BGM SRUS51 KBGM
ALBRR4BTV SRUS51 KBTV
ALBRR5ALY SRUS51 KALY
ALBRR5BGM SRUS51 KBGM
ALBRR5BTV SRUS51 KBTV
ALBRR6ALB SRUS61 KALY
ALBRR6AVP SRUS61 KBGM
ALBRR6BTV SRUS61 KBTV
ALBRR6PBG SRUS61 KBTV
ALBRR6RME SRUS61 KBGM
ALBRR6SYR SRUS61 KBGM
ALBRR7ALB SRUS71 KALY
ALBRR7AVP SRUS71 KBGM
ALBRR7BTV SRUS71 KBTV
ALBRR7PBG SRUS71 KBTV
ALBRR7RME SRUS71 KBGM
ALBRR7SYR SRUS71 KBGM
ALBRR8ALY SRUS81 KALY
ALBRR8BGM SRUS81 KBGM
ALBRR8BTV SRUS81 KBTV
ALBRR9ALY SRUS81 KALY
ALBRR9BGM SRUS81 KBGM
ALBRR9BTV SRUS81 KBTV
ALBRRAALY SRUS81 KALY
ALBRRABGM SRUS81 KBGM
ALBRRABTV SRUS81 KBTV
