#*******************************************************************************
# File : MnemonicDescriptorMapping.txt
# 
# Purpose : These entries map MOS models and associated BUFR descriptors to the
# index within the BUFRDataDocument list. Further, the data item is mapped to
# to a specific Mnemonic that is used to retrieve the data.
#  
#  Date         Ticket#    Engineer    Description
#  ------------ ---------- ----------- --------------------------
#  20080226            861 jkorman     Initial Development
#  20111026          11393 jkorman     Updated AVN mapping
#  20160209           5283 nabowle     Remove NGM support.
#  @author jkorman
#
#*******************************************************************************
#Model|Descrip | Index|Mnemonic         
#---------------------------------------
  ETA|0 60 023|    93|POP_drizzle      
  ETA|0 60 024|    94|POP_rain         
  ETA|0 60 025|    95|POP_showers      
  ETA|0 60 092|    96|POP_bestCat      
  ETA|0 60 148|    97|POP_hour         
  ETA|0 60 149|    98|POP_3hour        
#---------------------------------------
#Model|Descrip | Index|Mnemonic         
#---------------------------------------
  GFS|0 12 021|    12|maxTemp24Hour    
  GFS|0 12 022|    14|minTemp24Hour    
  GFS|0 12 104|    16|temperature      
  GFS|0 12 106|    17|dewpoint         
  GFS|0 11 001|    18|windDir          
  GFS|0 11 200|    19|windSpeedInflated
  GFS|0 11 003|    20|uwind            
  GFS|0 11 004|    21|vwind            
  GFS|0 60 001|    22|PQPF_6hr         
  GFS|0 60 002|    23|PQPF_12hr        
  GFS|0 60 003|    24|PQPF_24hr        
  GFS|0 60 058|    25|tstorm6hr        
  GFS|0 60 059|    26|tstorm12hr       
  GFS|0 60 060|    27|tstorm24hr       
  GFS|0 60 061|    28|csevere6hr       
  GFS|0 60 062|    29|csevere12hr      
  GFS|0 60 063|    30|csevere24hr      
  GFS|0 60 150|    31|severe6hr        
  GFS|0 60 151|    32|severe12hr       
  GFS|0 60 152|    33|severe24hr       
  GFS|0 60 020|    34|precipFreezing   
  GFS|0 60 021|    35|precipSnow       
  GFS|0 60 022|    36|precipRain       
  GFS|0 60 091|    37|precipType       
  GFS|0 60 004|    38|QPF6hr_cat1      
  GFS|0 60 007|    39|QPF6hr_cat2      
  GFS|0 60 010|    40|QPF6hr_cat3      
  GFS|0 60 013|    41|QPF6hr_cat4      
  GFS|0 60 090|    43|QPF6hr_bestCat   
  GFS|0 60 005|    44|QPF12hr_cat1     
  GFS|0 60 008|    45|QPF12hr_cat2     
  GFS|0 60 011|    46|QPF12hr_cat3     
  GFS|0 60 014|    47|QPF12hr_cat4     
  GFS|0 60 016|    48|QPF12hr_cat7     
  GFS|0 60 090|    50|QPF12hr_bestCat  
  GFS|0 60 006|    51|QPF24hr_cat1     
  GFS|0 60 009|    52|QPF24hr_cat2     
